Protocol,Source IP Address,Source Port,Destination IP Address,Destination Port,Captured Length
TCP,104.20.73.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49269,104.20.73.155,49269,54
TCP,192.168.1.142,49361,172.217.169.46,49361,66
TCP,172.217.169.46,443,192.168.1.142,443,60
TCP,192.168.1.142,49361,172.217.169.46,49361,54
SSL,192.168.1.142,49361,172.217.169.46,49361,185
TCP,172.217.169.46,443,192.168.1.142,443,60
SSL,172.217.169.46,443,192.168.1.142,443,1514
TCP,172.217.169.46,443,192.168.1.142,443,1454
TCP,192.168.1.142,49361,172.217.169.46,49361,54
SSL,172.217.169.46,443,192.168.1.142,443,671
SSL,192.168.1.142,49361,172.217.169.46,49361,188
TCP,172.217.169.46,443,192.168.1.142,443,60
SSL,172.217.169.46,443,192.168.1.142,443,113
TCP,172.217.169.46,443,192.168.1.142,443,113
TCP,192.168.1.142,49361,172.217.169.46,49361,54
SSL,192.168.1.142,49361,172.217.169.46,49361,608
TCP,172.217.169.46,443,192.168.1.142,443,60
SSL,172.217.169.46,443,192.168.1.142,443,219
TCP,172.217.169.46,443,192.168.1.142,443,219
TCP,192.168.1.142,49361,172.217.169.46,49361,54
SSL,192.168.1.142,49325,31.216.147.155,49325,90
TCP,31.216.147.155,443,192.168.1.142,443,60
SSL,31.216.147.155,443,192.168.1.142,443,86
TCP,31.216.147.155,443,192.168.1.142,443,86
TCP,192.168.1.142,49325,31.216.147.155,49325,54
SSL,31.216.147.134,443,192.168.1.142,443,413
TCP,31.216.147.134,443,192.168.1.142,443,413
TCP,192.168.1.142,49321,31.216.147.134,49321,54
SSL,192.168.1.142,49321,31.216.147.134,49321,557
TCP,31.216.147.134,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,82
TCP,104.20.73.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49269,104.20.73.155,49269,54
SSL,192.168.1.142,49269,104.20.73.155,49269,86
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.74.155,443,192.168.1.142,443,82
TCP,104.20.74.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49299,104.20.74.155,49299,54
SSL,192.168.1.142,49299,104.20.74.155,49299,86
TCP,104.20.74.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49325,31.216.147.155,49325,90
TCP,31.216.147.155,443,192.168.1.142,443,60
SSL,31.216.147.155,443,192.168.1.142,443,86
TCP,31.216.147.155,443,192.168.1.142,443,86
TCP,192.168.1.142,49325,31.216.147.155,49325,54
SSL,104.20.73.155,443,192.168.1.142,443,78
SSL,192.168.1.142,49269,104.20.73.155,49269,82
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.74.155,443,192.168.1.142,443,78
TCP,104.20.74.155,443,192.168.1.142,443,78
TCP,192.168.1.142,49299,104.20.74.155,49299,54
SSL,192.168.1.142,49299,104.20.74.155,49299,82
TCP,104.20.74.155,443,192.168.1.142,443,60
SSL,31.216.147.134,443,192.168.1.142,443,413
TCP,31.216.147.134,443,192.168.1.142,443,413
TCP,192.168.1.142,49321,31.216.147.134,49321,54
SSL,192.168.1.142,49321,31.216.147.134,49321,557
TCP,31.216.147.134,443,192.168.1.142,443,60
SSL,192.168.1.142,49299,104.20.74.155,49299,86
TCP,104.20.74.155,443,192.168.1.142,443,60
SSL,104.20.74.155,443,192.168.1.142,443,82
TCP,104.20.74.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49299,104.20.74.155,49299,54
SSL,192.168.1.142,49269,104.20.73.155,49269,86
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,82
TCP,104.20.73.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49269,104.20.73.155,49269,54
SSL,192.168.1.142,49325,31.216.147.155,49325,90
TCP,31.216.147.155,443,192.168.1.142,443,60
SSL,31.216.147.155,443,192.168.1.142,443,86
TCP,31.216.147.155,443,192.168.1.142,443,86
TCP,192.168.1.142,49325,31.216.147.155,49325,54
SSL,104.20.73.155,443,192.168.1.142,443,82
TCP,104.20.73.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49269,104.20.73.155,49269,54
SSL,192.168.1.142,49269,104.20.73.155,49269,86
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.74.155,443,192.168.1.142,443,82
SSL,192.168.1.142,49299,104.20.74.155,49299,86
TCP,104.20.74.155,443,192.168.1.142,443,60
SSL,31.216.147.134,443,192.168.1.142,443,413
TCP,31.216.147.134,443,192.168.1.142,443,413
TCP,192.168.1.142,49321,31.216.147.134,49321,54
SSL,192.168.1.142,49321,31.216.147.134,49321,557
TCP,31.216.147.134,443,192.168.1.142,443,60
TCP,192.168.1.142,49357,216.58.198.174,49357,54
TCP,192.168.1.142,49358,173.194.5.219,49358,54
TCP,173.194.5.219,80,192.168.1.142,80,60
SSL,104.20.73.155,443,192.168.1.142,443,78
TCP,104.20.73.155,443,192.168.1.142,443,78
TCP,192.168.1.142,49269,104.20.73.155,49269,54
SSL,192.168.1.142,49269,104.20.73.155,49269,82
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.74.155,443,192.168.1.142,443,78
TCP,104.20.74.155,443,192.168.1.142,443,78
TCP,192.168.1.142,49299,104.20.74.155,49299,54
SSL,192.168.1.142,49299,104.20.74.155,49299,82
TCP,104.20.74.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49325,31.216.147.155,49325,90
TCP,31.216.147.155,443,192.168.1.142,443,60
SSL,31.216.147.155,443,192.168.1.142,443,86
SSL,192.168.1.142,49269,104.20.73.155,49269,86
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,31.216.147.155,443,192.168.1.142,443,86
TCP,192.168.1.142,49325,31.216.147.155,49325,54
SSL,104.20.73.155,443,192.168.1.142,443,82
TCP,104.20.73.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49269,104.20.73.155,49269,54
SSL,192.168.1.142,49299,104.20.74.155,49299,86
TCP,104.20.74.155,443,192.168.1.142,443,60
SSL,104.20.74.155,443,192.168.1.142,443,82
TCP,104.20.74.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49299,104.20.74.155,49299,54
TCP,192.168.1.142,49366,104.103.185.104,49366,66
TCP,192.168.1.142,49367,104.103.185.104,49367,66
TCP,192.168.1.142,49368,104.103.185.104,49368,66
TCP,104.103.185.104,443,192.168.1.142,443,60
TCP,192.168.1.142,49366,104.103.185.104,49366,54
TCP,104.103.185.104,443,192.168.1.142,443,60
TCP,192.168.1.142,49367,104.103.185.104,49367,54
SSL,192.168.1.142,49366,104.103.185.104,49366,571
TCP,104.103.185.104,443,192.168.1.142,443,60
SSL,192.168.1.142,49367,104.103.185.104,49367,571
TCP,104.103.185.104,443,192.168.1.142,443,60
TCP,104.103.185.104,443,192.168.1.142,443,60
TCP,192.168.1.142,49368,104.103.185.104,49368,54
SSL,192.168.1.142,49368,104.103.185.104,49368,571
TCP,104.103.185.104,443,192.168.1.142,443,60
SSL,104.103.185.104,443,192.168.1.142,443,1502
TCP,104.103.185.104,443,192.168.1.142,443,1502
TCP,192.168.1.142,49366,104.103.185.104,49366,54
TCP,104.103.185.104,443,192.168.1.142,443,1254
SSL,104.103.185.104,443,192.168.1.142,443,1502
TCP,104.103.185.104,443,192.168.1.142,443,1502
TCP,192.168.1.142,49367,104.103.185.104,49367,54
TCP,104.103.185.104,443,192.168.1.142,443,1254
SSL,104.103.185.104,443,192.168.1.142,443,655
TCP,192.168.1.142,49367,104.103.185.104,49367,54
SSL,104.103.185.104,443,192.168.1.142,443,655
TCP,192.168.1.142,49366,104.103.185.104,49366,54
SSL,104.103.185.104,443,192.168.1.142,443,1502
TCP,104.103.185.104,443,192.168.1.142,443,1502
TCP,192.168.1.142,49368,104.103.185.104,49368,54
TCP,104.103.185.104,443,192.168.1.142,443,1254
SSL,104.103.185.104,443,192.168.1.142,443,655
TCP,192.168.1.142,49368,104.103.185.104,49368,54
SSL,192.168.1.142,49366,104.103.185.104,49366,180
TCP,104.103.185.104,443,192.168.1.142,443,60
SSL,192.168.1.142,49367,104.103.185.104,49367,180
TCP,104.103.185.104,443,192.168.1.142,443,60
SSL,192.168.1.142,49368,104.103.185.104,49368,180
TCP,104.103.185.104,443,192.168.1.142,443,60
SSL,192.168.1.142,49366,104.103.185.104,49366,543
TCP,104.103.185.104,443,192.168.1.142,443,60
SSL,104.103.185.104,443,192.168.1.142,443,328
SSL,104.103.185.104,443,192.168.1.142,443,328
SSL,104.103.185.104,443,192.168.1.142,443,328
TCP,192.168.1.142,49361,172.217.169.46,49361,54
TCP,104.103.185.104,443,192.168.1.142,443,328
TCP,104.103.185.104,443,192.168.1.142,443,328
TCP,104.103.185.104,443,192.168.1.142,443,328
TCP,192.168.1.142,49368,104.103.185.104,49368,54
TCP,192.168.1.142,49366,104.103.185.104,49366,54
TCP,192.168.1.142,49367,104.103.185.104,49367,54
SSL,104.103.185.104,443,192.168.1.142,443,573
TCP,104.103.185.104,443,192.168.1.142,443,573
TCP,192.168.1.142,49366,104.103.185.104,49366,54
SSL,31.216.147.134,443,192.168.1.142,443,413
TCP,31.216.147.134,443,192.168.1.142,443,413
TCP,192.168.1.142,49321,31.216.147.134,49321,54
TCP,192.168.1.142,49369,109.144.2.147,49369,66
SSL,192.168.1.142,49321,31.216.147.134,49321,557
TCP,31.216.147.134,443,192.168.1.142,443,60
TCP,109.144.2.147,80,192.168.1.142,80,60
TCP,192.168.1.142,49369,109.144.2.147,49369,54
TCP,192.168.1.142,49370,216.58.206.110,49370,66
TCP,216.58.206.110,80,192.168.1.142,80,60
TCP,192.168.1.142,49370,216.58.206.110,49370,54
HTTP,192.168.1.142,49370,216.58.206.110,49370,370
TCP,216.58.206.110,80,192.168.1.142,80,60
DATA-TEXT-LINES,216.58.206.110,80,192.168.1.142,80,1056
TCP,216.58.206.110,80,192.168.1.142,80,1056
TCP,192.168.1.142,49370,216.58.206.110,49370,54
SSL,192.168.1.142,49325,31.216.147.155,49325,91
TCP,31.216.147.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49372,173.194.5.219,49372,66
TCP,173.194.5.219,80,192.168.1.142,80,60
TCP,192.168.1.142,49372,173.194.5.219,49372,54
HTTP,192.168.1.142,49372,173.194.5.219,49372,481
TCP,173.194.5.219,80,192.168.1.142,80,60
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,994
TCP,192.168.1.142,49372,173.194.5.219,49372,54
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1410
TCP,192.168.1.142,49372,173.194.5.219,49372,54
TCP,173.194.5.219,80,192.168.1.142,80,1514
TCP,173.194.5.219,80,192.168.1.142,80,1410
TCP,192.168.1.142,49372,173.194.5.219,49372,54
TCP,173.194.5.219,80,192.168.1.142,80,1462
TCP,173.194.5.219,80,192.168.1.142,80,1462
TCP,192.168.1.142,49372,173.194.5.219,49372,54
DATA,173.194.5.219,80,192.168.1.142,80,730
TCP,173.194.5.219,80,192.168.1.142,80,730
TCP,192.168.1.142,49372,173.194.5.219,49372,54
SSL,104.20.73.155,443,192.168.1.142,443,82
TCP,104.20.73.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49269,104.20.73.155,49269,54
SSL,192.168.1.142,49269,104.20.73.155,49269,86
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49325,31.216.147.155,49325,90
TCP,31.216.147.155,443,192.168.1.142,443,60
SSL,31.216.147.155,443,192.168.1.142,443,86
TCP,192.168.1.142,49369,109.144.2.147,49369,54
TCP,192.168.1.142,49367,104.103.185.104,49367,54
TCP,192.168.1.142,49367,104.103.185.104,49367,54
TCP,109.144.2.147,80,192.168.1.142,80,60
TCP,104.103.185.104,443,192.168.1.142,443,60
TCP,192.168.1.142,49367,104.103.185.104,49367,54
TCP,192.168.1.142,49368,104.103.185.104,49368,54
TCP,192.168.1.142,49368,104.103.185.104,49368,54
TCP,104.103.185.104,443,192.168.1.142,443,60
TCP,192.168.1.142,49368,104.103.185.104,49368,54
TCP,192.168.1.142,49366,104.103.185.104,49366,54
TCP,104.103.185.104,443,192.168.1.142,443,60
TCP,31.216.147.155,443,192.168.1.142,443,86
TCP,192.168.1.142,49325,31.216.147.155,49325,54
TCP,109.144.2.147,80,192.168.1.142,80,60
SSL,104.103.185.104,443,192.168.1.142,443,85
TCP,192.168.1.142,49369,109.144.2.147,49369,54
TCP,192.168.1.142,49366,104.103.185.104,49366,54
SSL,104.20.74.155,443,192.168.1.142,443,82
TCP,104.20.74.155,443,192.168.1.142,443,82
TCP,192.168.1.142,49299,104.20.74.155,49299,54
SSL,192.168.1.142,49299,104.20.74.155,49299,86
TCP,104.20.74.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49373,23.21.121.219,49373,66
TCP,23.21.121.219,443,192.168.1.142,443,60
TCP,192.168.1.142,49373,23.21.121.219,49373,54
SSL,192.168.1.142,49373,23.21.121.219,49373,236
TCP,23.21.121.219,443,192.168.1.142,443,60
SSL,23.21.121.219,443,192.168.1.142,443,1494
TCP,192.168.1.142,49373,23.21.121.219,49373,54
TCP,23.21.121.219,443,192.168.1.142,443,1494
TCP,192.168.1.142,49373,23.21.121.219,49373,54
TCP,23.21.121.219,443,192.168.1.142,443,1514
SSL,23.21.121.219,443,192.168.1.142,443,1250
TCP,192.168.1.142,49373,23.21.121.219,49373,54
SSL,23.21.121.219,443,192.168.1.142,443,370
TCP,192.168.1.142,49373,23.21.121.219,49373,54
SSL,192.168.1.142,49373,23.21.121.219,49373,220
TCP,23.21.121.219,443,192.168.1.142,443,60
TCP,192.168.1.142,49374,54.235.124.112,49374,66
SSL,23.21.121.219,443,192.168.1.142,443,145
TCP,192.168.1.142,49373,23.21.121.219,49373,54
TCP,54.235.124.112,443,192.168.1.142,443,60
TCP,192.168.1.142,49374,54.235.124.112,49374,54
SSL,192.168.1.142,49374,54.235.124.112,49374,236
TCP,54.235.124.112,443,192.168.1.142,443,60
SSL,54.235.124.112,443,192.168.1.142,443,1514
TCP,54.235.124.112,443,192.168.1.142,443,1514
TCP,54.235.124.112,443,192.168.1.142,443,1514
SSL,54.235.124.112,443,192.168.1.142,443,1514
SSL,54.235.124.112,443,192.168.1.142,443,66
TCP,192.168.1.142,49374,54.235.124.112,49374,54
SSL,192.168.1.142,49374,54.235.124.112,49374,220
TCP,54.235.124.112,443,192.168.1.142,443,60
SSL,54.235.124.112,443,192.168.1.142,443,145
TCP,192.168.1.142,49374,54.235.124.112,49374,54
TCP,192.168.1.142,49375,104.20.73.155,49375,66
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,192.168.1.142,49375,104.20.73.155,49375,585
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,266
SSL,192.168.1.142,49375,104.20.73.155,49375,118
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,140
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,561
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,566
SSL,192.168.1.142,49375,104.20.73.155,49375,85
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,85
SSL,104.20.73.155,443,192.168.1.142,443,263
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,192.168.1.142,49375,104.20.73.155,49375,142
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,549
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,192.168.1.142,49375,104.20.73.155,49375,238
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,164
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,161
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,160
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,156
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,165
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,166
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,161
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,161
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,167
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,159
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,169
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,156
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,184
TCP,104.20.73.155,443,192.168.1.142,443,184
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,104.20.73.155,443,192.168.1.142,443,143
SSL,104.20.73.155,443,192.168.1.142,443,141
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,104.20.73.155,443,192.168.1.142,443,142
SSL,104.20.73.155,443,192.168.1.142,443,142
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,104.20.73.155,443,192.168.1.142,443,142
SSL,104.20.73.155,443,192.168.1.142,443,142
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,104.20.73.155,443,192.168.1.142,443,583
TCP,104.20.73.155,443,192.168.1.142,443,583
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,104.20.73.155,443,192.168.1.142,443,78
TCP,104.20.73.155,443,192.168.1.142,443,78
TCP,192.168.1.142,49269,104.20.73.155,49269,54
SSL,192.168.1.142,49269,104.20.73.155,49269,82
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.74.155,443,192.168.1.142,443,78
TCP,104.20.74.155,443,192.168.1.142,443,78
TCP,192.168.1.142,49299,104.20.74.155,49299,54
SSL,192.168.1.142,49299,104.20.74.155,49299,82
TCP,104.20.74.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,225
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,140
SSL,192.168.1.142,49375,104.20.73.155,49375,130
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,165
TCP,104.20.73.155,443,192.168.1.142,443,165
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,104.20.73.155,443,192.168.1.142,443,329
SSL,104.20.73.155,443,192.168.1.142,443,254
TCP,192.168.1.142,49375,104.20.73.155,49375,54
TCP,192.168.1.142,49376,104.20.73.155,49376,66
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,192.168.1.142,49376,104.20.73.155,49376,54
SSL,192.168.1.142,49376,104.20.73.155,49376,583
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,257
SSL,192.168.1.142,49376,104.20.73.155,49376,118
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,803
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,913
SSL,192.168.1.142,49376,104.20.73.155,49376,144
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,178
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,149
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,131
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,157
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,126
SSL,104.20.73.155,443,192.168.1.142,443,919
TCP,192.168.1.142,49376,104.20.73.155,49376,54
SSL,104.20.73.155,443,192.168.1.142,443,695
SSL,192.168.1.142,49376,104.20.73.155,49376,99
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,101
SSL,192.168.1.142,49376,104.20.73.155,49376,169
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,120
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,115
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,114
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,130
SSL,104.20.73.155,443,192.168.1.142,443,123
TCP,192.168.1.142,49376,104.20.73.155,49376,54
SSL,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1124
TCP,192.168.1.142,49376,104.20.73.155,49376,54
SSL,104.20.73.155,443,192.168.1.142,443,179
SSL,104.20.73.155,443,192.168.1.142,443,1502
TCP,192.168.1.142,49376,104.20.73.155,49376,54
TCP,104.20.73.155,443,192.168.1.142,443,1514
SSL,104.20.73.155,443,192.168.1.142,443,1465
TCP,192.168.1.142,49376,104.20.73.155,49376,54
SSL,104.20.73.155,443,192.168.1.142,443,175
SSL,192.168.1.142,49376,104.20.73.155,49376,105
SSL,192.168.1.142,49376,104.20.73.155,49376,116
TCP,104.20.73.155,443,192.168.1.142,443,60
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,114
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,112
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,101
SSL,192.168.1.142,49376,104.20.73.155,49376,116
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,311
SSL,192.168.1.142,49376,104.20.73.155,49376,152
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,221
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,161
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,491
SSL,192.168.1.142,49376,104.20.73.155,49376,120
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,110
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,110
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,116
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,121
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,165
SSL,104.20.73.155,443,192.168.1.142,443,933
SSL,192.168.1.142,49376,104.20.73.155,49376,118
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,116
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,142
TCP,192.168.1.142,49375,104.20.73.155,49375,54
SSL,104.20.73.155,443,192.168.1.142,443,107
SSL,104.20.73.155,443,192.168.1.142,443,102
TCP,192.168.1.142,49376,104.20.73.155,49376,54
SSL,104.20.73.155,443,192.168.1.142,443,117
SSL,104.20.73.155,443,192.168.1.142,443,113
TCP,192.168.1.142,49376,104.20.73.155,49376,54
SSL,104.20.73.155,443,192.168.1.142,443,121
SSL,104.20.73.155,443,192.168.1.142,443,122
TCP,192.168.1.142,49376,104.20.73.155,49376,54
SSL,104.20.73.155,443,192.168.1.142,443,564
SSL,104.20.73.155,443,192.168.1.142,443,243
TCP,192.168.1.142,49376,104.20.73.155,49376,54
SSL,192.168.1.142,49376,104.20.73.155,49376,109
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49376,104.20.73.155,49376,93
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,142
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,159
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,165
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,162
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,192.168.1.142,49375,104.20.73.155,49375,161
TCP,104.20.73.155,443,192.168.1.142,443,60
SSL,104.20.73.155,443,192.168.1.142,443,538
SSL,104.20.73.155,443,192.168.1.142,443,1445
